site_id,site_name,latitude,longitude,pvout_daily_centroid,pvout_centroid,cf_centroid,pvout_daily_best_50km,pvout_best_50km,cf_best_50km,pvout_source,pvout_buildable_best_50km,buildable_area_ha,regional_groundmount_potential_mwp_50km,buildability_constraint,best_solar_site_lat,best_solar_site_lon,best_solar_site_dist_km,within_boundary_area_ha,within_boundary_capacity_mwp,pvout_within_boundary,within_boundary_source,solar_search_method,chosen_anchor_substation_name,solar_supply_share_pct,solar_delivered_share_pct
sbi-andalas-lhoknga,SBI Andalas Lhoknga,5.451139,95.246351,3.863,1410.0,0.161,4.017,1466.2,0.1674,GlobalSolarAtlas-v2,,0.0,0.0,land_cover,,,,0.0,0.0,,theoretical,best_pvout_fallback,,,
semen-jawa-scg-sukabumi,Semen Jawa SCG Sukabumi,-6.976314,106.861777,3.754,1370.2,0.1564,4.086,1491.4,0.1702,GlobalSolarAtlas-v2,1362.1,2648.0,1765.3,land_cover,-7.01049,106.84677,4.15,0.0,0.0,,theoretical,substation_anchored,GI 150 kV Semen Jawa,0.8296,1.0
semen-bosowa-banyuwangi,Semen Bosowa Banyuwangi,-8.169003,114.391943,4.426,1615.5,0.1844,4.717,1721.7,0.1965,GlobalSolarAtlas-v2,,0.0,0.0,kawasan_hutan,,,,0.0,0.0,,theoretical,best_pvout_fallback,,,
cemindo-gemilang-ciwandan,Cemindo Gemilang Ciwandan,-6.022556,105.960336,3.792,1384.1,0.158,4.032,1471.7,0.168,GlobalSolarAtlas-v2,1439.4,256.7,171.1,kawasan_hutan,-5.98173,106.10452,16.58,0.0,0.0,,theoretical,substation_anchored,GITET 500 kV Cilegonbaru,0.4198,1.0
conch-south-kalimantan,Conch South Kalimantan,-2.05,115.42,3.581,1307.1,0.1492,3.77,1376.0,0.1571,GlobalSolarAtlas-v2,1314.3,12900.2,8600.1,land_cover,-2.20518,115.49439,19.13,0.0,0.0,,theoretical,substation_anchored,GI 150 kV Tanjung 1,1.0,1.0
cemindo-gemilang-batam,Cemindo Gemilang Batam,1.058643,104.135548,3.586,1308.9,0.1494,3.77,1376.0,0.1571,GlobalSolarAtlas-v2,1342.8,5850.8,3900.5,land_cover,1.0203,104.29048,17.74,0.0,0.0,,theoretical,best_pvout_fallback,,1.0,1.0
semen-bosowa-batam,Semen Bosowa Batam,1.058782,104.136023,3.586,1308.9,0.1494,3.77,1376.0,0.1571,GlobalSolarAtlas-v2,1342.8,6109.0,4072.7,land_cover,1.02044,104.29096,17.75,0.0,0.0,,theoretical,best_pvout_fallback,,1.0,1.0
semen-jakarta,Semen Jakarta,-6.037574,105.985182,3.731,1361.8,0.1555,4.03,1471.0,0.1679,GlobalSolarAtlas-v2,1440.0,256.7,171.1,kawasan_hutan,-5.97314,106.10435,15.0,0.0,0.0,,theoretical,substation_anchored,GI 150 kV Cilegonbaru,0.6196,1.0
semen-gresik-city,Semen Gresik City,-7.170242,112.645549,4.273,1559.6,0.178,4.543,1658.2,0.1893,GlobalSolarAtlas-v2,1538.2,3927.6,2618.4,land_cover,-7.1697,112.66924,2.61,0.0,0.0,,theoretical,substation_anchored,GI 70 kV Semengresik,0.708,1.0
solusi-bangun-cilegon,Solusi Bangun Cilegon,-6.020475,105.958559,3.792,1384.1,0.158,4.032,1471.7,0.168,GlobalSolarAtlas-v2,1440.1,171.2,114.1,kawasan_hutan,-5.97965,106.10275,16.58,0.0,0.0,,theoretical,substation_anchored,GITET 500 kV Cilegonbaru,0.4198,1.0
semen-kupang,Semen Kupang,-10.194909,123.540076,4.572,1668.8,0.1905,4.89,1784.8,0.2037,GlobalSolarAtlas-v2,,0.0,0.0,land_cover,,,,0.0,0.0,,theoretical,best_pvout_fallback,,,
conch-west-kalimantan,Conch West Kalimantan,0.032069,109.23757,3.732,1362.2,0.1555,3.952,1442.5,0.1647,GlobalSolarAtlas-v2,,0.0,0.0,kawasan_hutan,,,,0.0,0.0,,theoretical,best_pvout_fallback,,,
krakatau-steel-cilegon,Krakatau Steel Cilegon,-6.007021,106.001766,3.803,1388.1,0.1585,4.028,1470.2,0.1678,GlobalSolarAtlas-v2,1440.0,256.8,171.2,kawasan_hutan,-5.97592,106.1043,11.85,0.0,0.0,,theoretical,substation_anchored,GITET 500 kV Cilegonbaru,0.6316,1.0
krakatau-posco-cilegon,Krakatau Posco Cilegon,-5.998661,105.99866,3.812,1391.4,0.1588,4.028,1470.2,0.1678,GlobalSolarAtlas-v2,1441.0,171.2,114.1,kawasan_hutan,-5.97034,106.10536,12.21,0.0,0.0,,theoretical,substation_anchored,GI 150 kV Cilegon Lama,0.422,1.0
dexin-steel-morowali,Dexin Steel Morowali,-2.829514,122.174896,3.98,1452.7,0.1658,4.036,1473.1,0.1682,GlobalSolarAtlas-v2,,0.0,0.0,kawasan_hutan,,,,0.0,0.0,,theoretical,best_pvout_fallback,,,
gunung-raja-paksi-bekasi,Gunung Raja Paksi Bekasi,-6.282658,107.117683,3.81,1390.6,0.1587,4.124,1505.3,0.1718,GlobalSolarAtlas-v2,1417.8,5132.4,3421.6,land_cover,-6.346,107.15331,8.07,0.0,0.0,,theoretical,substation_anchored,GI 150 kV Cikarang,0.4216,1.0
master-steel-jakarta,Master Steel Jakarta,-6.18421,106.920067,3.779,1379.3,0.1575,4.096,1495.0,0.1707,GlobalSolarAtlas-v2,1444.5,3593.3,2395.5,land_cover,-6.13089,107.02245,12.78,0.0,0.0,,theoretical,substation_anchored,GIS 150 kV Harapan Indah - Kandang Sapi 1,0.4182,1.0
jakarta-prima-steel-industries,Jakarta Prima Steel Industries,-6.181643,106.932331,3.814,1392.1,0.1589,4.099,1496.1,0.1708,GlobalSolarAtlas-v2,1448.9,4448.9,2965.9,land_cover,-6.17415,107.05972,14.11,0.0,0.0,,theoretical,substation_anchored,GITET 500 kV Bekasi 1,0.4221,1.0
ispat-indo-sidoarjo,Ispat Indo Sidoarjo,-7.448,112.718,4.401,1606.4,0.1834,4.641,1694.0,0.1934,GlobalSolarAtlas-v2,1605.8,5973.1,3982.1,land_cover,-7.38218,112.78169,10.14,0.0,0.0,,theoretical,substation_anchored,GI 70 kV Buduran,0.4858,1.0
virtue-dragon-nickel-industrial-park-vdnip,Virtue Dragon Nickel Industrial Park (VDNIP),-3.890235466,122.4379273,3.948,1441.0,0.1645,4.183,1526.8,0.1743,GlobalSolarAtlas-v2,,0.0,0.0,kawasan_hutan,,,,0.0,0.0,,theoretical,best_pvout_fallback,,,
bantaeng-industrial-park-bip,Bantaeng Industrial Park (BIP),-5.581220134,120.0574004,4.239,1547.2,0.1766,4.528,1652.7,0.1887,GlobalSolarAtlas-v2,,0.0,0.0,land_cover,,,,0.0,0.0,,theoretical,best_pvout_fallback,,,
obi-island-industrial-park,Obi Island Industrial Park,-1.532699668,127.4192247,3.678,1342.5,0.1532,4.275,1560.4,0.1781,GlobalSolarAtlas-v2,,0.0,0.0,land_cover,,,,0.0,0.0,,theoretical,best_pvout_fallback,,,
indonesia-pomalaa-industry-park-ipip,Indonesia Pomalaa Industry Park (IPIP),-4.291228621,121.5584167,3.957,1444.3,0.1649,4.345,1585.9,0.181,GlobalSolarAtlas-v2,,0.0,0.0,kawasan_hutan,,,,0.0,0.0,,theoretical,best_pvout_fallback,,,
nusantara-industri-sejati,Nusantara Industri Sejati,-3.835193078,122.4033594,3.973,1450.1,0.1655,4.183,1526.8,0.1743,GlobalSolarAtlas-v2,,0.0,0.0,kawasan_hutan,,,,0.0,0.0,,theoretical,best_pvout_fallback,,,
indonesia-morowali-industrial-park-imip,Indonesia Morowali Industrial Park (IMIP),-2.831769936,122.1651827,3.965,1447.2,0.1652,4.036,1473.1,0.1682,GlobalSolarAtlas-v2,,0.0,0.0,kawasan_hutan,,,,0.0,0.0,,theoretical,best_pvout_fallback,,,
stardust-estate-invesment-sei,Stardust Estate Invesment (SEI),-1.935932805,121.6115391,4.042,1475.3,0.1684,4.153,1515.8,0.173,GlobalSolarAtlas-v2,1445.4,602.1,401.4,kawasan_hutan,-1.75761,121.76629,26.25,0.0,0.0,,theoretical,best_pvout_fallback,,1.0,1.0
industrial-weda-bay-industrial-park-iwip,Industrial Weda Bay Industrial Park (IWIP),0.4890843334,128.0476444,3.857,1407.8,0.1607,4.231,1544.3,0.1763,GlobalSolarAtlas-v2,,0.0,0.0,kawasan_hutan,,,,0.0,0.0,,theoretical,best_pvout_fallback,,,
buli-industrial-park,Buli Industrial Park,0.8408315536,128.2559372,4.018,1466.6,0.1674,4.223,1541.4,0.176,GlobalSolarAtlas-v2,,0.0,0.0,kawasan_hutan,,,,0.0,0.0,,theoretical,best_pvout_fallback,,,
indonesia-konawe-industrial-park-ikip,Indonesia Konawe Industrial Park (IKIP),-3.016794486,121.8324283,3.713,1355.2,0.1547,4.07,1485.6,0.1696,GlobalSolarAtlas-v2,,0.0,0.0,kawasan_hutan,,,,0.0,0.0,,theoretical,best_pvout_fallback,,,
inalum-asahan,Inalum Asahan,2.703,99.243,3.528,1287.7,0.147,3.847,1404.2,0.1603,GlobalSolarAtlas-v2,,0.0,0.0,kawasan_hutan,,,,0.0,0.0,,theoretical,best_pvout_fallback,,,
freeport-smelter-gresik,Freeport Smelter Gresik,-7.161,112.654,4.261,1555.3,0.1775,4.542,1657.8,0.1892,GlobalSolarAtlas-v2,1537.2,4696.2,3130.8,land_cover,-7.14726,112.65965,1.65,0.0,0.0,,theoretical,substation_anchored,GI 150 kV Gresik - Tandes 2,0.9413,1.0
pupuk-kaltim-bontang,Pupuk Kaltim Bontang,0.121,117.5,3.723,1358.9,0.1551,3.893,1420.9,0.1622,GlobalSolarAtlas-v2,1393.9,6368.2,4245.5,kawasan_hutan,0.46599,117.58834,39.6,0.0,0.0,,theoretical,best_pvout_fallback,,1.0,1.0
pupuk-sriwidjaja-palembang,Pupuk Sriwidjaja Palembang,-2.99,104.757,3.582,1307.4,0.1493,3.747,1367.7,0.1561,GlobalSolarAtlas-v2,,0.0,0.0,kawasan_hutan,,,,0.0,0.0,,theoretical,best_pvout_fallback,,,
petrokimia-gresik,Petrokimia Gresik,-7.151,112.651,4.251,1551.6,0.1771,4.538,1656.4,0.1891,GlobalSolarAtlas-v2,1535.5,4440.1,2960.1,land_cover,-7.08434,112.62416,7.98,0.0,0.0,,theoretical,substation_anchored,GI 150 kV Petrokimia,1.0,1.0
pupuk-kujang-cikampek,Pupuk Kujang Cikampek,-6.41,107.457,3.905,1425.3,0.1627,4.143,1512.2,0.1726,GlobalSolarAtlas-v2,1420.6,3420.7,2280.5,land_cover,-6.44358,107.40204,7.13,0.0,0.0,,theoretical,substation_anchored,GI 150 kV Dawuan - Kosambi Baru 1,1.0,1.0
pupuk-iskandar-muda-lhokseumawe,Pupuk Iskandar Muda Lhokseumawe,5.235,97.097,3.841,1402.0,0.16,3.978,1452.0,0.1657,GlobalSolarAtlas-v2,,0.0,0.0,kawasan_hutan,,,,0.0,0.0,,theoretical,best_pvout_fallback,,,
