project_name,project_type,latitude,longitude,capacity_tons,capacity_unit,cost_usd,status,province,shareholder,is_chinese_owned,esg_ecological,esg_social,kek_id,dist_to_kek_km
Huayu Nickel Cobalt,Nickel Sulfate,-2.849203755,122.1804459,120000.0,ton,2080000000,Active,"Sulawesi Tengah, Morowali Regency",Zhejiang Huayou Cobalt; Yongrui (Tsingshan); EVE Energy Co Ltd; Glaucous International Pte Ltd; Lindo Investment Pte Ltd,True,Water Pollution;Deforestation;Biodiversity Loss,"Land Grabbing;Intimidation, Suppression, Criminalization of Local Communities",,
Huafei Nickel Cobalt,MHP,0.4685662851,127.9487022,,ton,,Planned,"Maluku Utara, Halmahera Regency",Huayou:53; Tsingshan:30; EVE Energy:17,True,Water Pollution;Air Pollution;Deforestation;Biodiversity Loss,"Land Grabbing;Intimidation, Suppression, Criminalization of Local Communities;Poor Work Safety",,
Lestari Smelter Indonesia,Nickel Pig Iron,-2.838312365,122.1687416,300000.0,ton,,Active,"Sulawesi Tengah, Morowali",Not found,False,Increased Vulnerability to the Climate Crisis,,,
Fajar Metal Industry,Nickel Sulfate,-2.835145844,122.1641141,60000.0,ton,1260000000,Active,"Sulawesi Tengah, Morowali",Decent Resource Limited:25; Nickel Industries:55,False,Water Pollution;Air Pollution;Soil Pollution;Deforestation,,,
Kinlin Nickel Industri,Nickel Pig Iron,-4.449781849,122.3558081,17000.0,ton,16700000,Active,"Southeast Sulawesi, South Konawe Regency",Not found,False,Water Pollution;Air Pollution;Deforestation;Increased Vulnerability to the Climate Crisis,Poor Work Safety,,
Macika Mineral Industri,Nickel Pig Iron,-4.45526656,122.3587752,276000.0,ton,7800000,Active,"Sulawesi Tenggara, Konawe Regency",Macika Mada Madana:49; Ningbo Brilimetal:51,True,,,,
Asia Mining Minerals,Nickel Pig Iron,-4.280295526,121.5797848,,ton,,Unknown,"Sulawesi Tenggara, Kolaka",Not found,False,,,,
Megah Surya Pertiwi,Ferro Nickel,-1.55295648,127.4292365,240000.0,ton,,Active,"North Maluku, South Halmahera",Gane Permai Sentosa:10;Harita Jayaraya:20;Trimegah Bangun Persada:30;Xinxing Qiyun Investment Holding PLE LTD:40,True,Water Pollution;Air Pollution;Deforestation;Increased Vulnerability to the Climate Crisis,"Intimidation, Suppression, Criminalization of Local Communities;Poor Work Safety",,
First Pacific Mining,Ferro Nickel,-1.533776471,127.4193126,160000.0,ton,,Planned,"North Maluku, Halmahera Selatan Regency",Not found,True,Water Pollution,,,
Heng Tai Yuan Indonesia Steel,Nickel Pig Iron,-6.000910147,106.0190799,150000.0,ton,36300000,active,"Banten, Cilegon",Not found,True,,Corruption & Illegal Activity,,
