,namobj,wadmpr,wadmkk,almind,klskbli,klskbli_1,koordy,koordx,geometry
4847,"HOYU INDONESIA, PT",JAWA BARAT,KARAWANG,"JL. MALIGI RAYA,  LOT Q NO. 18  KIIC",20232,"INDUSTRI KOSMETIK UNTUK MANUSIA, TERMASUK PASTA GIGI",-6.382954033,107.2659762,POINT (107.2659762 -6.382954033)
4848,"HYUNJIN INDONESIA, PT",JAWA BARAT,KARAWANG,JL. SURYA UTAMA KAV. I-68 D,17019,INDUSTRI KERTAS LAINNYA,-6.432017032,107.3593973,POINT (107.3593973 -6.432017032)
4849,"IDEMITSU LUBE TECHNO IND, PT",JAWA BARAT,KARAWANG,JL. PERMATA RAYA LOT. BB-4A KIIC,19212,INDUSTRI PEMBUATAN MINYAK PELUMAS,-6.357230996,107.2817681,POINT (107.2817681 -6.357230996)
4850,IHARA MANUFACTURING INDO PT,JAWA BARAT,KARAWANG,"JL. MALIGI RAYA LOT G 1A&B, KAWASAN INDUSTRI KIIC",29300,INDUSTRI SUKU CADANG DAN AKSESORI KENDARAAN BERMOTOR RODA EMPAT ATAU LEBIH,-6.362675495,107.2748139,POINT (107.2748139 -6.362675495)
4851,"INDO DUCTING PRATAMA, PT",JAWA BARAT,KARAWANG,JL. RAYA PANCAWATI KM 9,28299,INDUSTRI MESIN KEPERLUAN KHUSUS LAINNYA,-6.376113787,107.3882845,POINT (107.3882845 -6.376113787)
4852,"INDO HEAT METAL INTI, PT",JAWA BARAT,KARAWANG,RUMAMBE 2,25920,JASA INDUSTRI UNTUK BERBAGAI PENGERJAAN KHUSUS LOGAM DAN BARANG DARI LOGAM,-6.35118384,107.3315683,POINT (107.3315683 -6.35118384)
4853,"INDO JAPAN STEEL CENTRE, PT",JAWA BARAT,KARAWANG,JL. MITRA RAYA IV BLOK K-4  KAWASAN INDUSTRI MITRA KARAWANG,24203,INDUSTRI PENGGILINGAN LOGAM BUKAN BESI,-6.389391244,107.3066733,POINT (107.3066733 -6.389391244)
4854,"INDO JAPAN WIRE PRODUCT, PT",JAWA BARAT,KARAWANG,JL. MITRA RAYA IV BLOK K-4/ KAWASAN INDUSTRI MITRA KARAWANG,25951,INDUSTRI BARANG DARI KAWAT,-6.38816707,107.3078423,POINT (107.3078423 -6.38816707)
4855,"INDO LIBERTY TEXTILE, PT",JAWA BARAT,KARAWANG,JL. RAYA TELUK JAMBE,13112,INDUSTRI PEMINTALAN BENANG,-6.338666981,107.319965,POINT (107.319965 -6.338666981)
4856,"INDO PLAT PERKASA PURNAMA, PT",JAWA BARAT,KARAWANG,GINTUNG TENGAH,22293,INDUSTRI BARANG DAN PERALATAN TEKNIK/INDUSTRI DARI PLASTIK,-6.361638297,107.3450913,POINT (107.3450913 -6.361638297)
