unit,plant,parent,url,sponsor,capacity_mw,status,region,country,subnational_unit,latitude,longitude,geopoint
Unit 3,Bukit Asam Muara Enim Power Station,Pt Pln (Persero),https://www.gem.wiki/Bukit_Asam_Muara_Enim_power_station,,65,Operating,Asia,Indonesia,South Sumatra,-3.73213,103.79753,"-3.73213, 103.79753"
Unit 1,Cikarang Babelan Power Station,Pt Cikarang Listrindo,https://www.gem.wiki/Cikarang_Babelan_power_station,,140,Operating,Asia,Indonesia,West Java,-6.11607,107.05197,"-6.11607, 107.05197"
Unit 4,Delong Nickel Phase I Power Station,Jiangsu Delong Nickel Industry Co,https://www.gem.wiki/Delong_Nickel_Phase_I_power_station,,50,Operating,Asia,Indonesia,South Sulawesi,-3.90754,122.41926,"-3.90754, 122.41926"
Unit 10,Delong Nickel Phase Ii Power Station,Xiamen Xiangyu Group [51.0%]; Jiangsu Delong Nickel Industry Co [49.0%],https://www.gem.wiki/Delong_Nickel_Phase_II_power_station,,380,Operating,Asia,Indonesia,Southeast Sulawesi,-3.82749,122.46275,"-3.82749, 122.46275"
Unit 06,Delong Nickel Phase Ii Power Station,Xiamen Xiangyu Group [51.0%]; Jiangsu Delong Nickel Industry Co [49.0%],https://www.gem.wiki/Delong_Nickel_Phase_II_power_station,,135,Operating,Asia,Indonesia,Southeast Sulawesi,-3.82828,122.46623,"-3.82828, 122.46623"
Unit 05,Delong Nickel Phase Iii Power Station,Jiangsu Delong Nickel Industry Co,https://www.gem.wiki/Delong_Nickel_Phase_III_power_station,,135,Construction,Asia,Indonesia,Central Sulawesi,-2.00469,121.43807,"-2.00469, 121.43807"
Unit 11,Delong Nickel Phase Iii Power Station,Jiangsu Delong Nickel Industry Co,https://www.gem.wiki/Delong_Nickel_Phase_III_power_station,,300,Construction,Asia,Indonesia,Central Sulawesi,-2.01427,121.42969,"-2.01427, 121.42969"
Unit 2,Dss Serang Power Station,Datang Overseas Energy Investment Co Ltd [75.0%]; Sinar Mas Group [25.0%],https://www.gem.wiki/DSS_Serang_power_station,,35,Operating,Asia,Indonesia,Banten,-6.12544,106.28921,"-6.12544, 106.28921"
Unit 3,Dss Serang Power Station,Datang Overseas Energy Investment Co Ltd [75.0%]; Sinar Mas Group [25.0%],https://www.gem.wiki/DSS_Serang_power_station,,35,Operating,Asia,Indonesia,Banten,-6.12544,106.28921,"-6.12544, 106.28921"
Unit 3,East Halmahera Power Station,Pt Tambang Batubara Bukit Asam,https://www.gem.wiki/East_Halmahera_power_station,,60,Cancelled,Asia,Indonesia,North Maluku,0.83251,128.28527,"0.83251, 128.28527"
