capacity_mw,country,geopoint,latitude,longitude,parent,plant,region,status,subnational_unit,unit,url
110,Indonesia,"0.56437,101.52345",0.56437,101.52345,Pt Pln (Persero),Pekanbaru Tenayan Power Station,Asia,Operating,Riau,Unit 1,https://www.gem.wiki/Pekanbaru_Tenayan_power_station
150,Indonesia,"0.68932,101.61907",0.68932,101.61907,Sinar Mas Group,Perawang Mill Power Station,Asia,Operating,Riau,Unit 10,https://www.gem.wiki/Perawang_Mill_power_station
660,Indonesia,"-7.71103,113.57068",-7.71103,113.57068,Pt Pln (Persero),Pln Paiton Baru Power Station,Asia,Operating,East Java,Unit 09,https://www.gem.wiki/PLN_Paiton_Baru_power_station
400,Indonesia,"-7.7147,113.58502",-7.7147,113.58502,Pt Pln (Persero),Pln Paiton Power Station,Asia,Operating,East Java,Unit 1,https://www.gem.wiki/PLN_Paiton_power_station
30,Indonesia,"-4.17986,121.59293",-4.17986,121.59293,Pt Aneka Tambang Tbk,Pomalaa Nickel Power Station,Asia,Operating,Southeast Sulawesi,Unit S1,https://www.gem.wiki/Pomalaa_Nickel_power_station
125,Indonesia,"-5.61788,119.55119",-5.61788,119.55119,Bosawa Corp,Punagaya Power Station,Asia,Operating,South Sulawesi,"Phase I, Unit 1",https://www.gem.wiki/Punagaya_power_station
65,Indonesia,"-3.04035,122.26156",-3.04035,122.26156,Qingdao Urban Construction Investment (Group) Co Ltd; Qingdao Xiyuan Holdings Co Ltd; Shandong Taishan Steel Group Co Ltd,Qingdao Zhongsheng Captive Power Station,Asia,Cancelled,Central Sulawesi,Unit 5,https://www.gem.wiki/Qingdao_Zhongsheng_captive_power_station
37,Indonesia,"-1.0069,103.0821",-1.0069,103.0821,Sinar Mas Group,Sinar Mas Jambi Lontar Power Station,Asia,Operating,Jambi,Unit 3,https://www.gem.wiki/Sinar_Mas_Jambi_Lontar_power_station
200,Indonesia,"-1.61,101.91",-1.61,101.91,Datang Overseas Energy Investment Co Ltd [75.0%]; Sinar Mas Group [25.0%],Sinar Mas Jambi Power Station,Asia,Cancelled,Jambi,Unit 2,https://www.gem.wiki/Sinar_Mas_Jambi_power_station
50,Indonesia,"-0.86667,131.25",-0.86667,131.25,Jgc Holdings Corp,Sorong Power Station,Asia,Cancelled,West Papua,Phase I,https://www.gem.wiki/Sorong_power_station
380,Indonesia,"-2.86899,122.17188",-2.86899,122.17188,Sulawesi Mining Investment,Sulawesi Labota Power Station,Asia,Construction,Central Sulawesi,Unit 6,https://www.gem.wiki/Sulawesi_Labota_power_station
380,Indonesia,"-2.86791,122.17709",-2.86791,122.17709,Eternal Tsingshan Group; Huafeng Group,Sulawesi Labota Power Station,Asia,Construction,Central Sulawesi,Unit 3,https://www.gem.wiki/Sulawesi_Labota_power_station
65,Indonesia,"-2.82559,122.15545",-2.82559,122.15545,Sulawesi Mining Investment,Sulawesi Mining Power Station,Asia,Operating,Central Sulawesi,"Phase I, Unit 1",https://www.gem.wiki/Sulawesi_Mining_power_station
65,Indonesia,"-2.82559,122.15545",-2.82559,122.15545,Sulawesi Mining Investment,Sulawesi Mining Power Station,Asia,Operating,Central Sulawesi,"Phase I, Unit 2",https://www.gem.wiki/Sulawesi_Mining_power_station
